date,sales,stock,price,date,total_revenue
01/01/2014,0,4972,1.29,01/01/2014,0
02/01/2014,70,4902,1.29,02/01/2014,90.3
03/01/2014,59,4843,1.29,03/01/2014,76.11
04/01/2014,93,4750,1.29,04/01/2014,119.97
05/01/2014,96,4654,1.29,05/01/2014,123.84
06/01/2014,145,4509,1.29,06/01/2014,187.05
07/01/2014,179,4329,1.29,07/01/2014,230.91
08/01/2014,321,4104,1.29,08/01/2014,414.09
09/01/2014,125,4459,1.09,09/01/2014,136.25
10/01/2014,88,5043,1.09,10/01/2014,95.92
11/01/2014,188,5239,1.09,11/01/2014,204.92
12/01/2014,121,5118,1.09,12/01/2014,131.89
13/01/2014,134,4984,1.09,13/01/2014,146.06
14/01/2014,80,4904,1.09,14/01/2014,87.2
15/01/2014,82,4822,1.09,15/01/2014,89.38
16/01/2014,94,4728,1.19,16/01/2014,111.86
18/01/2014,159,4464,1.19,18/01/2014,189.21
19/01/2014,199,4265,1.19,19/01/2014,236.81
20/01/2014,104,4161,1.19,20/01/2014,123.76
21/01/2014,70,4091,1.19,21/01/2014,83.3
22/01/2014,127,3964,1.09,22/01/2014,138.43
23/01/2014,96,3868,1.09,23/01/2014,104.64
24/01/2014,75,3793,1.09,24/01/2014,81.75
25/01/2014,198,3595,1.09,25/01/2014,215.82
26/01/2014,168,3427,1.09,26/01/2014,183.12
27/01/2014,125,3302,1.09,27/01/2014,136.25
28/01/2014,86,3216,1.09,28/01/2014,93.74
29/01/2014,222,2994,0.99,29/01/2014,219.78
30/01/2014,272,2723,0.99,30/01/2014,269.28
31/01/2014,209,2514,0.99,31/01/2014,206.91
01/02/2014,369,2145,0.99,01/02/2014,365.31
02/02/2014,217,1928,0.99,02/02/2014,214.83
03/02/2014,97,1831,0.99,03/02/2014,96.03
04/02/2014,117,1714,0.99,04/02/2014,115.83
05/02/2014,100,1998,1.29,05/02/2014,129
06/02/2014,64,2126,1.29,06/02/2014,82.56
07/02/2014,35,2091,1.29,07/02/2014,45.15
08/02/2014,54,2037,1.29,08/02/2014,69.66
09/02/2014,55,1982,1.29,09/02/2014,70.95
12/02/2014,8,7228,1.29,12/02/2014,10.32
13/02/2014,43,7185,1.09,13/02/2014,46.87
14/02/2014,107,7078,1.09,14/02/2014,116.63
15/02/2014,116,6962,1.09,15/02/2014,126.44
16/02/2014,87,6875,1.09,16/02/2014,94.83
17/02/2014,66,6809,1.09,17/02/2014,71.94
18/02/2014,44,6765,1.09,18/02/2014,47.96
19/02/2014,33,6731,1.09,19/02/2014,35.97
20/02/2014,13,6718,1.09,20/02/2014,14.17
21/02/2014,53,6665,1.09,21/02/2014,57.77
22/02/2014,72,6593,1.09,22/02/2014,78.48
23/02/2014,50,6543,1.09,23/02/2014,54.5
24/02/2014,15,6528,1.09,24/02/2014,16.35
25/02/2014,12,6516,1.09,25/02/2014,13.08
26/02/2014,71,6445,1.09,26/02/2014,77.39
27/02/2014,37,6412,1.09,27/02/2014,40.33
28/02/2014,83,6329,1.09,28/02/2014,90.47
01/03/2014,94,6237,1.09,01/03/2014,102.46
02/03/2014,59,6178,1.09,02/03/2014,64.31
03/03/2014,49,6129,1.09,03/03/2014,53.41
05/03/2014,65,6012,1.09,05/03/2014,70.85
06/03/2014,55,5957,1.09,06/03/2014,59.95
07/03/2014,77,5880,1.09,07/03/2014,83.93
08/03/2014,122,5755,1.09,08/03/2014,132.98
09/03/2014,83,5672,1.09,09/03/2014,90.47
10/03/2014,75,5597,1.09,10/03/2014,81.75
11/03/2014,48,5549,1.09,11/03/2014,52.32
12/03/2014,45,5504,1.29,12/03/2014,58.05
13/03/2014,78,4659,1.29,13/03/2014,100.62
14/03/2014,122,4537,1.29,14/03/2014,157.38
16/03/2014,116,4274,1.29,16/03/2014,149.64
17/03/2014,48,4228,1.29,17/03/2014,61.92
18/03/2014,29,4199,1.29,18/03/2014,37.41
19/03/2014,91,4107,1.29,19/03/2014,117.39
20/03/2014,59,4048,1.29,20/03/2014,76.11
21/03/2014,68,3980,1.29,21/03/2014,87.72
22/03/2014,137,3843,1.28,22/03/2014,175.36
23/03/2014,56,3787,1.29,23/03/2014,72.24
24/03/2014,13,3774,1.29,24/03/2014,16.77
25/03/2014,45,3729,1.29,25/03/2014,58.05
26/03/2014,25,3704,1.29,26/03/2014,32.25
27/03/2014,25,3679,1.29,27/03/2014,32.25
28/03/2014,174,3505,1.19,28/03/2014,207.06
29/03/2014,138,3367,1.09,29/03/2014,150.42
30/03/2014,64,3303,1.09,30/03/2014,69.76
31/03/2014,77,3226,1.09,31/03/2014,83.93
01/04/2014,62,3164,1.09,01/04/2014,67.58
02/04/2014,119,3045,1.09,02/04/2014,129.71
03/04/2014,89,2956,1.09,03/04/2014,97.01
04/04/2014,133,2823,1.09,04/04/2014,144.97
05/04/2014,180,2643,1.09,05/04/2014,196.2
06/04/2014,121,2522,1.09,06/04/2014,131.89
07/04/2014,72,2450,1.09,07/04/2014,78.48
08/04/2014,91,2359,1.09,08/04/2014,99.19
09/04/2014,53,2306,1.09,09/04/2014,57.77
10/04/2014,47,2259,1.09,10/04/2014,51.23
11/04/2014,42,2217,1.09,11/04/2014,45.78
12/04/2014,124,2092,1.09,12/04/2014,135.16
13/04/2014,97,1995,1.09,13/04/2014,105.73
14/04/2014,119,1875,1.09,14/04/2014,129.71
15/04/2014,34,1841,1.29,15/04/2014,43.86
16/04/2014,18,1823,1.29,16/04/2014,23.22
17/04/2014,24,1799,1.29,17/04/2014,30.96
18/04/2014,57,1742,1.29,18/04/2014,73.53
19/04/2014,61,1681,1.29,19/04/2014,78.69
20/04/2014,30,1651,1.29,20/04/2014,38.7
21/04/2014,96,1554,1.29,21/04/2014,123.84
22/04/2014,0,1525,1.29,22/04/2014,0
23/04/2014,37,1488,1.29,23/04/2014,47.73
24/04/2014,30,1458,1.29,24/04/2014,38.7
25/04/2014,38,1420,1.29,25/04/2014,49.02
26/04/2014,88,1332,1.29,26/04/2014,113.52
27/04/2014,64,1268,1.29,27/04/2014,82.56
28/04/2014,13,1255,1.29,28/04/2014,16.77
29/04/2014,20,1255,1.29,29/04/2014,25.8
30/04/2014,31,1457,1.29,30/04/2014,39.99
01/05/2014,129,1263,1.29,01/05/2014,166.41
02/05/2014,94,1169,1.29,02/05/2014,121.26
03/05/2014,129,1904,1.29,03/05/2014,166.41
04/05/2014,126,1778,1.29,04/05/2014,162.54
05/05/2014,70,1708,1.29,05/05/2014,90.3
06/05/2014,48,1708,1.29,06/05/2014,61.92
07/05/2014,123,2044,1.29,07/05/2014,158.67
08/05/2014,87,1930,1.29,08/05/2014,112.23
09/05/2014,65,1961,1.29,09/05/2014,83.85
10/05/2014,102,1859,1.29,10/05/2014,131.58
11/05/2014,78,1781,1.29,11/05/2014,100.62
12/05/2014,49,1828,1.29,12/05/2014,63.21
13/05/2014,0,1800,1.29,13/05/2014,0
14/05/2014,68,1687,1.09,14/05/2014,74.12
15/05/2014,102,1969,1.09,15/05/2014,111.18
16/05/2014,88,1977,1.09,16/05/2014,95.92
17/05/2014,170,1807,1.09,17/05/2014,185.3
18/05/2014,152,1655,1.09,18/05/2014,165.68
19/05/2014,90,1661,1.09,19/05/2014,98.1
20/05/2014,101,1751,1.09,20/05/2014,110.09
21/05/2014,71,1680,1.43,21/05/2014,101.53
22/05/2014,48,2016,1.49,22/05/2014,71.52
23/05/2014,40,1976,1.49,23/05/2014,59.6
24/05/2014,93,1883,1.49,24/05/2014,138.57
25/05/2014,45,1838,1.49,25/05/2014,67.05
26/05/2014,58,1876,1.49,26/05/2014,86.42
27/05/2014,53,1919,1.49,27/05/2014,78.97
28/05/2014,42,3317,1.49,28/05/2014,62.58
29/05/2014,52,3841,1.49,29/05/2014,77.48
30/05/2014,29,3811,1.99,30/05/2014,57.71
31/05/2014,91,3720,1.99,31/05/2014,181.09
01/06/2014,75,3645,1.99,01/06/2014,149.25
02/06/2014,75,3570,1.99,02/06/2014,149.25
03/06/2014,179,3391,1.19,03/06/2014,213.01
04/06/2014,252,3140,1.19,04/06/2014,299.88
05/06/2014,202,2938,1.19,05/06/2014,240.38
06/06/2014,161,2777,1.19,06/06/2014,191.59
07/06/2014,331,2446,1.19,07/06/2014,393.89
08/06/2014,271,2175,1.19,08/06/2014,322.49
09/06/2014,146,1949,1.19,09/06/2014,173.74
10/06/2014,2,1946,1.19,10/06/2014,2.38
11/06/2014,2,2136,1.19,11/06/2014,2.38
12/06/2014,0,2136,0,12/06/2014,0
13/06/2014,0,2328,1.49,13/06/2014,0
14/06/2014,0,2328,1.49,14/06/2014,0
15/06/2014,13,2315,1.49,15/06/2014,19.37
16/06/2014,30,2285,1.49,16/06/2014,44.7
17/06/2014,34,2251,1.49,17/06/2014,50.66
18/06/2014,8,2243,1.49,18/06/2014,11.92
19/06/2014,67,2176,1.29,19/06/2014,86.43
20/06/2014,41,2135,1.29,20/06/2014,52.89
21/06/2014,89,2046,1.29,21/06/2014,114.81
22/06/2014,49,1997,1.29,22/06/2014,63.21
23/06/2014,62,2031,1.29,23/06/2014,79.98
24/06/2014,81,2046,1.29,24/06/2014,104.49
25/06/2014,42,2004,1.29,25/06/2014,54.18
26/06/2014,63,2037,1.29,26/06/2014,81.27
27/06/2014,107,1930,1.18,27/06/2014,126.26
28/06/2014,83,1847,1.19,28/06/2014,98.77
29/06/2014,102,1745,1.19,29/06/2014,121.38
30/06/2014,62,1779,1.29,30/06/2014,79.98
01/07/2014,29,1750,1.29,01/07/2014,37.41
02/07/2014,63,1687,1.29,02/07/2014,81.27
03/07/2014,97,1590,1.29,03/07/2014,125.13
04/07/2014,136,1454,1.29,04/07/2014,175.44
05/07/2014,335,1119,1.29,05/07/2014,432.15
06/07/2014,299,820,1.29,06/07/2014,385.71
07/07/2014,5,814,1.29,07/07/2014,6.45
08/07/2014,2,812,1.29,08/07/2014,2.58
09/07/2014,9,803,1.29,09/07/2014,11.61
10/07/2014,9,794,1.29,10/07/2014,11.61
11/07/2014,0,794,1.29,11/07/2014,0
12/07/2014,0,794,1.29,12/07/2014,0
13/07/2014,0,794,1.29,13/07/2014,0
14/07/2014,0,794,1.29,14/07/2014,0
15/07/2014,0,794,0,15/07/2014,0
16/07/2014,0,794,0,16/07/2014,0
17/07/2014,0,794,0,17/07/2014,0
18/07/2014,0,794,0,18/07/2014,0
19/07/2014,0,794,1.49,19/07/2014,0
20/07/2014,0,794,1.49,20/07/2014,0
21/07/2014,0,794,1.49,21/07/2014,0
22/07/2014,2,792,1.49,22/07/2014,2.98
23/07/2014,0,792,1.49,23/07/2014,0
24/07/2014,0,888,1.49,24/07/2014,0
25/07/2014,15,873,1.49,25/07/2014,22.35
26/07/2014,9,864,1.49,26/07/2014,13.41
27/07/2014,13,851,1.49,27/07/2014,19.37
28/07/2014,15,1220,1.22,28/07/2014,18.3
29/07/2014,26,1207,2.98,29/07/2014,77.48
30/07/2014,16,1191,1.55,30/07/2014,24.8
31/07/2014,51,1140,1.55,31/07/2014,79.05
01/08/2014,47,1093,1.55,01/08/2014,72.85
02/08/2014,56,1037,1.55,02/08/2014,86.8
03/08/2014,45,992,1.55,03/08/2014,69.75
04/08/2014,40,952,1.55,04/08/2014,62
05/08/2014,17,935,1.55,05/08/2014,26.35
06/08/2014,103,832,1.29,06/08/2014,132.87
07/08/2014,72,760,1.29,07/08/2014,92.88
08/08/2014,56,704,1.29,08/08/2014,72.24
09/08/2014,0,704,1.29,09/08/2014,0
10/08/2014,1,703,1.29,10/08/2014,1.29
11/08/2014,0,703,1.29,11/08/2014,0
12/08/2014,0,703,1.29,12/08/2014,0
13/08/2014,0,703,1.29,13/08/2014,0
14/08/2014,0,703,1.29,14/08/2014,0
15/08/2014,0,703,1.55,15/08/2014,0
16/08/2014,0,703,1.55,16/08/2014,0
17/08/2014,0,703,1.55,17/08/2014,0
18/08/2014,0,2143,1.55,18/08/2014,0
19/08/2014,0,2143,1.55,19/08/2014,0
20/08/2014,68,2075,1.55,20/08/2014,105.4
21/08/2014,169,1908,1.19,21/08/2014,201.11
22/08/2014,213,1695,1.19,22/08/2014,253.47
23/08/2014,338,1356,1.19,23/08/2014,402.22
24/08/2014,129,1227,1.19,24/08/2014,153.51
26/08/2014,13,1271,1.19,26/08/2014,15.47
27/08/2014,85,1186,1.19,27/08/2014,101.15
28/08/2014,0,1186,0,28/08/2014,0
29/08/2014,0,1186,1.29,29/08/2014,0
30/08/2014,0,1186,1.29,30/08/2014,0
31/08/2014,0,1186,1.29,31/08/2014,0
01/09/2014,0,1474,1.29,01/09/2014,0
02/09/2014,0,1474,1.29,02/09/2014,0
03/09/2014,0,1474,1.29,03/09/2014,0
04/09/2014,0,1474,1.29,04/09/2014,0
05/09/2014,0,2146,1.29,05/09/2014,0
06/09/2014,0,2146,1.29,06/09/2014,0
07/09/2014,0,2146,1.29,07/09/2014,0
08/09/2014,64,2082,1.29,08/09/2014,82.56
09/09/2014,154,1928,1.29,09/09/2014,198.66
10/09/2014,143,1785,1.29,10/09/2014,184.47
11/09/2014,96,1689,1.29,11/09/2014,123.84
12/09/2014,140,1549,1.29,12/09/2014,180.6
13/09/2014,67,1484,1.29,13/09/2014,86.43
14/09/2014,3,1481,1.29,14/09/2014,3.87
15/09/2014,71,1410,1.29,15/09/2014,91.59
16/09/2014,58,1352,1.29,16/09/2014,74.82
17/09/2014,62,1962,1.29,17/09/2014,79.98
18/09/2014,62,1996,1.29,18/09/2014,79.98
19/09/2014,62,2126,1.29,19/09/2014,79.98
20/09/2014,168,2532,1.29,20/09/2014,216.72
21/09/2014,99,2433,1.29,21/09/2014,127.71
22/09/2014,39,2394,1.29,22/09/2014,50.31
23/09/2014,64,2285,1.29,23/09/2014,82.56
24/09/2014,117,2168,1.29,24/09/2014,150.93
25/09/2014,104,2064,1.29,25/09/2014,134.16
26/09/2014,108,1956,1.29,26/09/2014,139.32
27/09/2014,234,1014,1.29,27/09/2014,301.86
28/09/2014,97,917,1.29,28/09/2014,125.13
29/09/2014,85,832,1.29,29/09/2014,109.65
30/09/2014,88,1896,1.29,30/09/2014,113.52
01/10/2014,190,1801,1.29,01/10/2014,245.1
02/10/2014,163,1637,1.29,02/10/2014,210.27
03/10/2014,90,1835,1.29,03/10/2014,116.1
04/10/2014,105,1730,1.29,04/10/2014,135.45
05/10/2014,47,1683,1.29,05/10/2014,60.63
06/10/2014,66,2097,1.29,06/10/2014,85.14
07/10/2014,84,2109,1.29,07/10/2014,108.36
08/10/2014,80,2028,1.29,08/10/2014,103.2
09/10/2014,97,1934,1.29,09/10/2014,125.13
10/10/2014,64,2254,1.29,10/10/2014,82.56
11/10/2014,128,2126,1.29,11/10/2014,165.12
12/10/2014,85,2041,1.29,12/10/2014,109.65
13/10/2014,50,2087,1.29,13/10/2014,64.5
14/10/2014,91,1996,1.29,14/10/2014,117.39
15/10/2014,93,1903,1.29,15/10/2014,119.97
16/10/2014,50,1852,1.29,16/10/2014,64.5
17/10/2014,85,2246,1.29,17/10/2014,109.65
18/10/2014,129,2117,1.29,18/10/2014,166.41
19/10/2014,119,1998,1.29,19/10/2014,153.51
20/10/2014,45,2049,1.29,20/10/2014,58.05
21/10/2014,78,2067,1.29,21/10/2014,100.62
22/10/2014,90,1977,1.29,22/10/2014,116.1
23/10/2014,78,1899,1.29,23/10/2014,100.62
24/10/2014,62,1837,1.29,24/10/2014,79.98
25/10/2014,97,1740,1.29,25/10/2014,125.13
26/10/2014,111,1629,1.29,26/10/2014,143.19
27/10/2014,55,1574,1.29,27/10/2014,70.95
28/10/2014,60,1510,1.29,28/10/2014,77.4
29/10/2014,61,1449,1.29,29/10/2014,78.69
30/10/2014,81,1368,1.49,30/10/2014,120.69
31/10/2014,131,1237,1.49,31/10/2014,195.19
01/11/2014,160,1077,1.49,01/11/2014,238.4
02/11/2014,131,946,1.49,02/11/2014,195.19
03/11/2014,43,903,1.49,03/11/2014,64.07
04/11/2014,34,869,1.49,04/11/2014,50.66
05/11/2014,33,836,1.49,05/11/2014,49.17
06/11/2014,37,799,1.49,06/11/2014,55.13
07/11/2014,82,717,1.49,07/11/2014,122.18
08/11/2014,542,175,1.49,08/11/2014,807.58
09/11/2014,239,0,1.49,09/11/2014,356.11
10/11/2014,51,0,1.49,10/11/2014,75.99
11/11/2014,51,80,1.49,11/11/2014,75.99
12/11/2014,41,34,1.49,12/11/2014,61.09
13/11/2014,1,33,1.49,13/11/2014,1.49
14/11/2014,0,33,1.49,14/11/2014,0
15/11/2014,1,32,1.49,15/11/2014,1.49
16/11/2014,0,32,1.49,16/11/2014,0
17/11/2014,0,32,1.49,17/11/2014,0
18/11/2014,7,25,1.49,18/11/2014,10.43
19/11/2014,1,24,1.49,19/11/2014,1.49
20/11/2014,4,20,1.29,20/11/2014,5.16
21/11/2014,1,19,1.29,21/11/2014,1.29
22/11/2014,1,18,1.29,22/11/2014,1.29
23/11/2014,2,16,1.29,23/11/2014,2.58
24/11/2014,0,16,1.29,24/11/2014,0
25/11/2014,0,16,1.29,25/11/2014,0
26/11/2014,0,16,1.29,26/11/2014,0
27/11/2014,0,16,1.29,27/11/2014,0
28/11/2014,0,16,1.29,28/11/2014,0
29/11/2014,0,16,1.29,29/11/2014,0
30/11/2014,0,16,1.29,30/11/2014,0
01/12/2014,0,16,1.29,01/12/2014,0
02/12/2014,0,16,1.29,02/12/2014,0
03/12/2014,0,16,1.29,03/12/2014,0
04/12/2014,0,16,1.29,04/12/2014,0
05/12/2014,0,16,1.49,05/12/2014,0
06/12/2014,0,16,1.49,06/12/2014,0
07/12/2014,0,16,1.49,07/12/2014,0
08/12/2014,0,16,1.49,08/12/2014,0
09/12/2014,0,16,1.49,09/12/2014,0
10/12/2014,0,16,1.49,10/12/2014,0
11/12/2014,0,16,1.49,11/12/2014,0
12/12/2014,0,16,1.49,12/12/2014,0
13/12/2014,0,16,1.49,13/12/2014,0
14/12/2014,0,16,1.49,14/12/2014,0
15/12/2014,0,688,1.49,15/12/2014,0
16/12/2014,49,735,1.49,16/12/2014,73.01
17/12/2014,157,578,1.29,17/12/2014,202.53
18/12/2014,193,385,1.29,18/12/2014,248.97
19/12/2014,94,291,1.29,19/12/2014,121.26
20/12/2014,135,156,1.29,20/12/2014,174.15
21/12/2014,118,38,1.29,21/12/2014,152.22
22/12/2014,18,116,1.29,22/12/2014,23.22
23/12/2014,0,116,1.29,23/12/2014,0
24/12/2014,14,102,1.29,24/12/2014,18.06
25/12/2014,0,102,1.29,25/12/2014,0
26/12/2014,20,82,1.29,26/12/2014,25.8
27/12/2014,42,328,1.29,27/12/2014,54.18
28/12/2014,45,283,1.29,28/12/2014,58.05
29/12/2014,55,612,1.29,29/12/2014,70.95
30/12/2014,59,553,1.29,30/12/2014,76.11
31/12/2014,11,542,1.29,31/12/2014,14.19
01/01/2015,0,542,1.29,01/01/2015,0
02/01/2015,77,561,1.29,02/01/2015,99.33
03/01/2015,60,2229,1.29,03/01/2015,77.4
04/01/2015,1,2228,1.29,04/01/2015,1.29
05/01/2015,69,2351,1.29,05/01/2015,89.01
06/01/2015,98,2253,1.29,06/01/2015,126.42
07/01/2015,119,2134,1.29,07/01/2015,153.51
08/01/2015,93,2137,1.29,08/01/2015,119.97
09/01/2015,92,2045,1.29,09/01/2015,118.68
10/01/2015,112,1933,1.29,10/01/2015,144.48
11/01/2015,96,1837,1.29,11/01/2015,123.84
12/01/2015,93,1744,1.29,12/01/2015,119.97
13/01/2015,65,1679,1.29,13/01/2015,83.85
14/01/2015,100,1581,1.29,14/01/2015,129
15/01/2015,51,1530,1.49,15/01/2015,75.99
16/01/2015,55,1475,1.49,16/01/2015,81.95
17/01/2015,71,1403,1.49,17/01/2015,105.79
18/01/2015,57,1346,1.49,18/01/2015,84.93
19/01/2015,34,1312,1.49,19/01/2015,50.66
20/01/2015,47,1265,1.49,20/01/2015,70.03
21/01/2015,88,1177,1.29,21/01/2015,113.52
22/01/2015,51,1126,1.29,22/01/2015,65.79
23/01/2015,49,1076,1.29,23/01/2015,63.21
24/01/2015,110,966,1.29,24/01/2015,141.9
25/01/2015,30,936,1.29,25/01/2015,38.7
26/01/2015,59,877,1.29,26/01/2015,76.11
27/01/2015,97,780,1.29,27/01/2015,125.13
28/01/2015,155,625,1.29,28/01/2015,199.95
29/01/2015,125,500,1.29,29/01/2015,161.25
30/01/2015,100,496,1.29,30/01/2015,129
31/01/2015,211,285,1.29,31/01/2015,272.19
01/02/2015,88,197,1.29,01/02/2015,113.52
02/02/2015,114,467,1.29,02/02/2015,147.06
03/02/2015,89,570,1.29,03/02/2015,114.81
04/02/2015,118,548,1.29,04/02/2015,152.22
05/02/2015,84,1136,1.29,05/02/2015,108.36
06/02/2015,125,1299,1.29,06/02/2015,161.25
07/02/2015,184,1211,1.04,07/02/2015,191.36
08/02/2015,107,1104,1.29,08/02/2015,138.03
09/02/2015,70,1033,1.29,09/02/2015,90.3
10/02/2015,66,1063,1.29,10/02/2015,85.14
11/02/2015,89,974,1.29,11/02/2015,114.81
12/02/2015,50,1116,2.84,12/02/2015,142
13/02/2015,20,1096,2.89,13/02/2015,57.8
14/02/2015,77,1019,2.89,14/02/2015,222.53
15/02/2015,33,986,2.89,15/02/2015,95.37
16/02/2015,47,1035,2.89,16/02/2015,135.83
17/02/2015,35,1000,2.89,17/02/2015,101.15
18/02/2015,60,1228,2.89,18/02/2015,173.4
19/02/2015,31,1197,2.89,19/02/2015,89.59
20/02/2015,35,1162,2.89,20/02/2015,101.15
21/02/2015,80,1082,2.87,21/02/2015,229.6
22/02/2015,42,1039,2.89,22/02/2015,121.38
23/02/2015,23,1016,2.89,23/02/2015,66.47
24/02/2015,19,997,2.89,24/02/2015,54.91
25/02/2015,18,1075,2.89,25/02/2015,52.02
26/02/2015,37,1134,2.89,26/02/2015,106.93
27/02/2015,50,1084,2.89,27/02/2015,144.5
28/02/2015,127,957,2.89,28/02/2015,367.03
01/03/2015,123,834,2.89,01/03/2015,355.47
02/03/2015,44,789,2.89,02/03/2015,127.16
03/03/2015,22,767,2.89,03/03/2015,63.58
04/03/2015,31,736,2.89,04/03/2015,89.59
05/03/2015,22,714,2.89,05/03/2015,63.58
06/03/2015,40,674,2.89,06/03/2015,115.6
07/03/2015,62,612,2.89,07/03/2015,179.18
08/03/2015,59,553,2.89,08/03/2015,170.51
09/03/2015,28,525,2.89,09/03/2015,80.92
10/03/2015,68,458,1.49,10/03/2015,101.32
11/03/2015,73,385,1.49,11/03/2015,108.77
12/03/2015,87,298,1.49,12/03/2015,129.63
13/03/2015,175,1878,1.29,13/03/2015,225.75
14/03/2015,300,1575,1.29,14/03/2015,387
15/03/2015,196,1379,1.29,15/03/2015,252.84
16/03/2015,123,1256,1.29,16/03/2015,158.67
17/03/2015,168,1088,1.29,17/03/2015,216.72
18/03/2015,209,1263,1.29,18/03/2015,269.61
19/03/2015,188,1075,1.29,19/03/2015,242.52
20/03/2015,219,856,1.29,20/03/2015,282.51
21/03/2015,381,475,1.29,21/03/2015,491.49
22/03/2015,158,317,1.29,22/03/2015,203.82
23/03/2015,12,304,1.49,23/03/2015,17.88
24/03/2015,8,296,1.29,24/03/2015,10.32
25/03/2015,10,286,1.29,25/03/2015,12.9
26/03/2015,88,774,1.29,26/03/2015,113.52
27/03/2015,196,770,1.29,27/03/2015,252.84
28/03/2015,206,660,1.29,28/03/2015,265.74
29/03/2015,83,577,1.29,29/03/2015,107.07
30/03/2015,0,673,1.49,30/03/2015,0
31/03/2015,0,673,1.49,31/03/2015,0
01/04/2015,27,646,1.49,01/04/2015,40.23
02/04/2015,27,1002,1.49,02/04/2015,40.23
03/04/2015,54,1044,1.49,03/04/2015,80.46
04/04/2015,136,908,1.49,04/04/2015,202.64
05/04/2015,55,853,1.49,05/04/2015,81.95
06/04/2015,22,831,1.49,06/04/2015,32.78
07/04/2015,30,801,1.49,07/04/2015,44.7
08/04/2015,30,771,1.49,08/04/2015,44.7
09/04/2015,30,930,1.49,09/04/2015,44.7
10/04/2015,44,1078,1.49,10/04/2015,65.56
11/04/2015,39,1423,1.49,11/04/2015,58.11
12/04/2015,57,1366,1.49,12/04/2015,84.93
13/04/2015,30,1336,1.49,13/04/2015,44.7
14/04/2015,47,1385,1.49,14/04/2015,70.03
15/04/2015,74,1311,1.49,15/04/2015,110.26
16/04/2015,114,1196,1.39,16/04/2015,158.46
17/04/2015,40,1156,1.39,17/04/2015,55.6
18/04/2015,62,1094,1.39,18/04/2015,86.18
19/04/2015,62,1032,1.39,19/04/2015,86.18
20/04/2015,135,897,1.39,20/04/2015,187.65
21/04/2015,175,722,1.39,21/04/2015,243.25
22/04/2015,82,736,1.39,22/04/2015,113.98
