date,sales,stock,price,date,total_revenue
23/04/2015,62,674,1.4,23/04/2015,86.8
24/04/2015,88,586,1.4,24/04/2015,123.2
25/04/2015,152,434,1.4,25/04/2015,212.8
26/04/2015,64,370,1.4,26/04/2015,89.6
27/04/2015,67,591,1.4,27/04/2015,93.8
28/04/2015,73,806,1.39,28/04/2015,101.47
29/04/2015,130,676,1.39,29/04/2015,180.7
30/04/2015,115,657,1.39,30/04/2015,159.85
01/05/2015,260,397,1.39,01/05/2015,361.4
02/05/2015,228,169,1.39,02/05/2015,316.92
03/05/2015,120,49,1.39,03/05/2015,166.8
04/05/2015,31,18,1.39,04/05/2015,43.09
05/05/2015,0,18,1.39,05/05/2015,0
06/05/2015,3,15,1.39,06/05/2015,4.17
07/05/2015,0,15,1.39,07/05/2015,0
08/05/2015,0,15,1.39,08/05/2015,0
09/05/2015,0,15,0,09/05/2015,0
10/05/2015,0,15,1.49,10/05/2015,0
11/05/2015,1,14,1.49,11/05/2015,1.49
12/05/2015,0,14,1.49,12/05/2015,0
13/05/2015,1,13,1.49,13/05/2015,1.49
14/05/2015,1,12,1.49,14/05/2015,1.49
15/05/2015,1,10,1.49,15/05/2015,1.49
16/05/2015,0,10,1.49,16/05/2015,0
17/05/2015,0,10,1.49,17/05/2015,0
18/05/2015,0,10,1.49,18/05/2015,0
19/05/2015,1,9,1.49,19/05/2015,1.49
20/05/2015,0,9,1.49,20/05/2015,0
21/05/2015,0,9,1.49,21/05/2015,0
22/05/2015,0,9,1.49,22/05/2015,0
23/05/2015,0,9,1.49,23/05/2015,0
24/05/2015,0,9,1.49,24/05/2015,0
25/05/2015,0,9,1.39,25/05/2015,0
26/05/2015,0,9,1.39,26/05/2015,0
27/05/2015,0,9,1.39,27/05/2015,0
28/05/2015,0,9,1.39,28/05/2015,0
29/05/2015,0,9,1.39,29/05/2015,0
30/05/2015,0,9,1.39,30/05/2015,0
31/05/2015,0,9,1.39,31/05/2015,0
01/06/2015,0,105,1.39,01/06/2015,0
02/06/2015,0,105,1.39,02/06/2015,0
03/06/2015,0,105,1.39,03/06/2015,0
04/06/2015,0,105,1.39,04/06/2015,0
05/06/2015,168,1377,1.39,05/06/2015,233.52
06/06/2015,201,1176,1.2,06/06/2015,241.2
07/06/2015,147,1029,1.19,07/06/2015,174.93
08/06/2015,119,910,1.19,08/06/2015,141.61
09/06/2015,122,788,1.19,09/06/2015,145.18
10/06/2015,149,639,1.19,10/06/2015,177.31
11/06/2015,111,720,1.19,11/06/2015,132.09
12/06/2015,95,721,1.19,12/06/2015,113.05
13/06/2015,237,675,1.19,13/06/2015,282.03
14/06/2015,110,565,1.19,14/06/2015,130.9
15/06/2015,104,653,1.19,15/06/2015,123.76
16/06/2015,61,592,1.19,16/06/2015,72.59
17/06/2015,40,1127,1.29,17/06/2015,51.6
18/06/2015,114,1301,1.29,18/06/2015,147.06
19/06/2015,129,1172,1.29,19/06/2015,166.41
20/06/2015,111,1061,1.29,20/06/2015,143.19
21/06/2015,146,915,1.29,21/06/2015,188.34
22/06/2015,57,858,1.49,22/06/2015,84.93
23/06/2015,19,839,1.49,23/06/2015,28.31
24/06/2015,27,1291,1.49,24/06/2015,40.23
25/06/2015,62,1229,1.49,25/06/2015,92.38
26/06/2015,95,1902,1.49,26/06/2015,141.55
27/06/2015,183,1719,1.39,27/06/2015,254.37
28/06/2015,94,1624,1.39,28/06/2015,130.66
29/06/2015,116,1606,1.39,29/06/2015,161.24
30/06/2015,63,1543,1.39,30/06/2015,87.57
01/07/2015,147,1396,1.39,01/07/2015,204.33
02/07/2015,101,1295,1.39,02/07/2015,140.39
03/07/2015,248,1047,1.29,03/07/2015,319.92
04/07/2015,142,905,1.29,04/07/2015,183.18
05/07/2015,186,719,1.29,05/07/2015,239.94
06/07/2015,109,898,1.29,06/07/2015,140.61
07/07/2015,228,957,1.29,07/07/2015,294.12
08/07/2015,66,1083,1.29,08/07/2015,85.14
09/07/2015,182,901,1.29,09/07/2015,234.78
10/07/2015,1,996,1.29,10/07/2015,1.29
11/07/2015,64,1124,1.29,11/07/2015,82.56
12/07/2015,118,1006,1.29,12/07/2015,152.22
13/07/2015,55,950,1.29,13/07/2015,70.95
14/07/2015,43,907,1.27,14/07/2015,54.61
15/07/2015,95,812,1.28,15/07/2015,121.6
16/07/2015,54,758,1.28,16/07/2015,69.12
17/07/2015,85,673,1.28,17/07/2015,108.8
18/07/2015,92,869,1.27,18/07/2015,116.84
19/07/2015,61,808,1.28,19/07/2015,78.08
20/07/2015,111,697,1.27,20/07/2015,140.97
21/07/2015,7,1170,1.28,21/07/2015,8.96
22/07/2015,4,1262,1.28,22/07/2015,5.12
23/07/2015,66,1292,1.27,23/07/2015,83.82
24/07/2015,95,1197,1.28,24/07/2015,121.6
25/07/2015,190,1103,1.27,25/07/2015,241.3
26/07/2015,60,1043,1.28,26/07/2015,76.8
27/07/2015,42,1097,1.27,27/07/2015,53.34
28/07/2015,79,1306,1.27,28/07/2015,100.33
29/07/2015,109,1581,1.27,29/07/2015,138.43
30/07/2015,165,1416,1.28,30/07/2015,211.2
31/07/2015,99,1317,1.27,31/07/2015,125.73
01/08/2015,233,1084,1.48,01/08/2015,344.84
02/08/2015,16,1067,1.48,02/08/2015,23.68
03/08/2015,2,1065,1.46,03/08/2015,2.92
04/08/2015,5,1060,1.47,04/08/2015,7.35
05/08/2015,22,1038,1.48,05/08/2015,32.56
06/08/2015,8,1030,1.49,06/08/2015,11.92
07/08/2015,65,321,1.48,07/08/2015,96.2
08/08/2015,157,451,1.48,08/08/2015,232.36
09/08/2015,65,386,1.48,09/08/2015,96.2
10/08/2015,90,296,1.48,10/08/2015,133.2
11/08/2015,3,1157,1.18,11/08/2015,3.54
12/08/2015,5,1152,1.18,12/08/2015,5.9
13/08/2015,1,2015,1.19,13/08/2015,1.19
14/08/2015,65,2046,1.18,14/08/2015,76.7
15/08/2015,235,1811,1.17,15/08/2015,274.95
16/08/2015,76,1735,1.18,16/08/2015,89.68
17/08/2015,2,1733,1.19,17/08/2015,2.38
18/08/2015,101,1632,1.18,18/08/2015,119.18
19/08/2015,162,1470,1.17,19/08/2015,189.54
20/08/2015,25,1446,1.17,20/08/2015,29.25
21/08/2015,4,1442,1.16,21/08/2015,4.64
22/08/2015,1,1441,1.19,22/08/2015,1.19
23/08/2015,75,1366,1.17,23/08/2015,87.75
24/08/2015,32,1334,1.18,24/08/2015,37.76
25/08/2015,76,1258,1.18,25/08/2015,89.68
26/08/2015,6,1252,1.17,26/08/2015,7.02
27/08/2015,65,1285,1.18,27/08/2015,76.7
28/08/2015,145,1140,1.17,28/08/2015,169.65
29/08/2015,78,1062,1.17,29/08/2015,91.26
30/08/2015,6,1055,1.18,30/08/2015,7.08
31/08/2015,0,1151,1.19,31/08/2015,0
01/09/2015,126,1217,1.18,01/09/2015,148.68
02/09/2015,240,1073,1.17,02/09/2015,280.8
03/09/2015,67,1006,1.68,03/09/2015,112.56
04/09/2015,140,863,1.68,04/09/2015,235.2
05/09/2015,208,655,1.68,05/09/2015,349.44
06/09/2015,76,579,1.68,06/09/2015,127.68
07/09/2015,240,339,1.68,07/09/2015,403.2
08/09/2015,52,575,1.01,08/09/2015,52.52
09/09/2015,111,464,0.94,09/09/2015,104.34
10/09/2015,176,288,0.97,10/09/2015,170.72
11/09/2015,84,300,1.01,11/09/2015,84.84
12/09/2015,171,129,1,12/09/2015,171
13/09/2015,102,27,0.99,13/09/2015,100.98
14/09/2015,69,0,0.97,14/09/2015,66.93
15/09/2015,77,0,0.93,15/09/2015,71.61
16/09/2015,174,0,0.97,16/09/2015,168.78
17/09/2015,69,0,1.68,17/09/2015,115.92
18/09/2015,52,930,1.68,18/09/2015,87.36
19/09/2015,42,1080,1.68,19/09/2015,70.56
20/09/2015,1,1079,1.69,20/09/2015,1.69
21/09/2015,62,1016,1.68,21/09/2015,104.16
22/09/2015,88,928,1.68,22/09/2015,147.84
23/09/2015,60,1348,1.68,23/09/2015,100.8
24/09/2015,2,1442,1.66,24/09/2015,3.32
25/09/2015,3,1631,1.69,25/09/2015,5.07
26/09/2015,9,1622,1.76,26/09/2015,15.84
27/09/2015,142,1480,1.78,27/09/2015,252.76
28/09/2015,90,1580,1.78,28/09/2015,160.2
29/09/2015,20,1560,1.78,29/09/2015,35.6
30/09/2015,37,1523,1.78,30/09/2015,65.86
01/10/2015,86,1437,1.78,01/10/2015,153.08
02/10/2015,166,1367,1.78,02/10/2015,295.48
03/10/2015,391,976,1.48,03/10/2015,578.68
04/10/2015,56,919,1.47,04/10/2015,82.32
05/10/2015,64,951,1.47,05/10/2015,94.08
06/10/2015,35,916,1.48,06/10/2015,51.8
07/10/2015,40,875,1.47,07/10/2015,58.8
08/10/2015,21,1526,1.48,08/10/2015,31.08
09/10/2015,42,1484,1.48,09/10/2015,62.16
10/10/2015,95,1389,1.48,10/10/2015,140.6
11/10/2015,85,1304,1.48,11/10/2015,125.8
12/10/2015,140,1356,1.47,12/10/2015,205.8
13/10/2015,80,1276,1.48,13/10/2015,118.4
14/10/2015,91,1185,1.48,14/10/2015,134.68
15/10/2015,65,1120,1.48,15/10/2015,96.2
16/10/2015,166,1146,1.48,16/10/2015,245.68
17/10/2015,137,1297,1.48,17/10/2015,202.76
18/10/2015,174,1123,1.48,18/10/2015,257.52
19/10/2015,120,1291,1.48,19/10/2015,177.6
20/10/2015,93,1198,1.78,20/10/2015,165.54
21/10/2015,100,1096,1.78,21/10/2015,178
22/10/2015,137,1055,1.27,22/10/2015,173.99
23/10/2015,241,1006,1.27,23/10/2015,306.07
24/10/2015,113,893,1.27,24/10/2015,143.51
25/10/2015,257,636,1.28,25/10/2015,328.96
26/10/2015,166,474,1.28,26/10/2015,212.48
27/10/2015,162,312,1.28,27/10/2015,207.36
28/10/2015,247,1121,1.28,28/10/2015,316.16
29/10/2015,70,1435,1.78,29/10/2015,124.6
30/10/2015,139,1296,1.35,30/10/2015,187.65
31/10/2015,195,1293,1.34,31/10/2015,261.3
01/11/2015,206,1087,1.34,01/11/2015,276.04
02/11/2015,268,819,1.35,02/11/2015,361.8
03/11/2015,59,760,1.35,03/11/2015,79.65
04/11/2015,99,1237,1.34,04/11/2015,132.66
05/11/2015,63,1366,1.75,05/11/2015,110.25
06/11/2015,77,1577,1.76,06/11/2015,135.52
07/11/2015,232,1345,2.18,07/11/2015,505.76
08/11/2015,157,1188,2.18,08/11/2015,342.26
09/11/2015,107,1081,2.19,09/11/2015,234.33
10/11/2015,57,1023,2.18,10/11/2015,124.26
11/11/2015,95,930,2.18,11/11/2015,207.1
12/11/2015,86,844,2.19,12/11/2015,188.34
13/11/2015,102,742,2.19,13/11/2015,223.38
14/11/2015,184,846,1.79,14/11/2015,329.36
15/11/2015,138,708,1.79,15/11/2015,247.02
16/11/2015,106,698,2.19,16/11/2015,232.14
17/11/2015,89,609,2.19,17/11/2015,194.91
18/11/2015,107,502,2.19,18/11/2015,234.33
19/11/2015,78,424,2.19,19/11/2015,170.82
20/11/2015,185,238,2.19,20/11/2015,405.15
21/11/2015,151,87,2.19,21/11/2015,330.69
22/11/2015,97,0,2.19,22/11/2015,212.43
23/11/2015,76,0,2.19,23/11/2015,166.44
24/11/2015,140,0,2.19,24/11/2015,306.6
25/11/2015,137,0,2.67,25/11/2015,365.79
26/11/2015,84,0,2.69,26/11/2015,225.96
27/11/2015,0,0,2.69,27/11/2015,0
28/11/2015,7,0,2.69,28/11/2015,18.83
29/11/2015,5,0,2.69,29/11/2015,13.45
30/11/2015,22,0,2.69,30/11/2015,59.18
01/12/2015,36,0,2.29,01/12/2015,82.44
02/12/2015,36,1655,2.29,02/12/2015,82.44
03/12/2015,38,2001,2.29,03/12/2015,87.02
04/12/2015,95,1905,2.29,04/12/2015,217.55
05/12/2015,108,1893,2.25,05/12/2015,243
06/12/2015,70,1823,2.29,06/12/2015,160.3
07/12/2015,78,1745,2.29,07/12/2015,178.62
08/12/2015,77,1668,2.29,08/12/2015,176.33
09/12/2015,76,1880,2.29,09/12/2015,174.04
10/12/2015,59,1821,2.29,10/12/2015,135.11
11/12/2015,42,1779,2.29,11/12/2015,96.18
12/12/2015,142,1637,2.29,12/12/2015,325.18
13/12/2015,116,1521,2.29,13/12/2015,265.64
14/12/2015,57,1848,2.29,14/12/2015,130.53
15/12/2015,167,1681,2.29,15/12/2015,382.43
16/12/2015,154,1527,2.29,16/12/2015,352.66
17/12/2015,139,1964,1.39,17/12/2015,193.21
18/12/2015,192,1772,1.39,18/12/2015,266.88
19/12/2015,295,2533,1.39,19/12/2015,410.05
20/12/2015,311,2222,1.39,20/12/2015,432.29
21/12/2015,251,1971,1.39,21/12/2015,348.89
22/12/2015,377,1594,1.39,22/12/2015,524.03
23/12/2015,410,1184,1.39,23/12/2015,569.9
24/12/2015,161,1023,1.39,24/12/2015,223.79
25/12/2015,0,1023,1.39,25/12/2015,0
26/12/2015,212,811,1.39,26/12/2015,294.68
27/12/2015,106,705,1.39,27/12/2015,147.34
28/12/2015,100,604,1.39,28/12/2015,139
29/12/2015,9,595,1.39,29/12/2015,12.51
30/12/2015,0,595,1.39,30/12/2015,0
31/12/2015,0,595,1.39,31/12/2015,0
01/01/2016,0,595,1.39,01/01/2016,0
02/01/2016,3,592,1.39,02/01/2016,4.17
03/01/2016,0,592,2.29,03/01/2016,0
04/01/2016,0,592,1.46,04/01/2016,0
05/01/2016,3,589,1.46,05/01/2016,4.38
06/01/2016,3,586,1.46,06/01/2016,4.38
07/01/2016,0,586,1.46,07/01/2016,0
08/01/2016,2,584,1.46,08/01/2016,2.92
09/01/2016,0,584,0,09/01/2016,0
10/01/2016,3,581,1.46,10/01/2016,4.38
11/01/2016,0,581,1.46,11/01/2016,0
12/01/2016,103,478,1.46,12/01/2016,150.38
13/01/2016,164,314,1.46,13/01/2016,239.44
14/01/2016,118,196,1.46,14/01/2016,172.28
15/01/2016,65,131,1.46,15/01/2016,94.9
16/01/2016,24,107,1.46,16/01/2016,35.04
17/01/2016,0,107,0,17/01/2016,0
18/01/2016,1,106,1.46,18/01/2016,1.46
19/01/2016,0,106,1.46,19/01/2016,0
20/01/2016,1,105,1.46,20/01/2016,1.46
21/01/2016,60,3213,1.46,21/01/2016,87.6
22/01/2016,103,3110,1.35,22/01/2016,139.05
23/01/2016,263,2847,1.39,23/01/2016,365.57
24/01/2016,189,2658,1.39,24/01/2016,262.71
25/01/2016,197,2461,1.39,25/01/2016,273.83
26/01/2016,105,2356,1.46,26/01/2016,153.3
27/01/2016,129,2227,1.46,27/01/2016,188.34
28/01/2016,144,2083,1.46,28/01/2016,210.24
29/01/2016,173,1910,1.79,29/01/2016,309.67
30/01/2016,293,1617,1.79,30/01/2016,524.47
31/01/2016,219,1398,1.79,31/01/2016,392.01
01/02/2016,131,1267,1.79,01/02/2016,234.49
02/02/2016,184,1083,1.79,02/02/2016,329.36
03/02/2016,266,817,1.79,03/02/2016,476.14
04/02/2016,98,815,2.18,04/02/2016,213.64
05/02/2016,67,1420,2.29,05/02/2016,153.43
06/02/2016,85,1335,2.29,06/02/2016,194.65
07/02/2016,78,1257,2.29,07/02/2016,178.62
08/02/2016,71,1185,2.19,08/02/2016,155.49
09/02/2016,113,1072,2.19,09/02/2016,247.47
10/02/2016,138,1894,2.19,10/02/2016,302.22
11/02/2016,98,1796,2.19,11/02/2016,214.62
12/02/2016,96,1700,2.19,12/02/2016,210.24
13/02/2016,190,1510,2.19,13/02/2016,416.1
14/02/2016,105,1510,2.19,14/02/2016,229.95
15/02/2016,25,1510,2.19,15/02/2016,54.75
16/02/2016,47,1909,2.19,16/02/2016,102.93
17/02/2016,63,1845,2.19,17/02/2016,137.97
18/02/2016,39,1806,2.19,18/02/2016,85.41
19/02/2016,35,1771,2.19,19/02/2016,76.65
20/02/2016,77,1982,2.19,20/02/2016,168.63
21/02/2016,60,1922,2.19,21/02/2016,131.4
22/02/2016,52,1870,2.19,22/02/2016,113.88
23/02/2016,51,1819,2.19,23/02/2016,111.69
24/02/2016,37,1782,2.19,24/02/2016,81.03
25/02/2016,42,1740,2.19,25/02/2016,91.98
26/02/2016,89,1651,2.19,26/02/2016,194.91
27/02/2016,217,1367,2.19,27/02/2016,475.23
28/02/2016,197,1170,2.19,28/02/2016,431.43
29/02/2016,81,1089,2.19,29/02/2016,177.39
01/03/2016,58,1607,2.19,01/03/2016,127.02
02/03/2016,120,1487,2.19,02/03/2016,262.8
03/03/2016,64,1423,2.19,03/03/2016,140.16
04/03/2016,64,1743,2.59,04/03/2016,165.76
05/03/2016,76,1667,2.59,05/03/2016,196.84
06/03/2016,86,1581,2.59,06/03/2016,222.74
07/03/2016,98,1867,2.59,07/03/2016,253.82
08/03/2016,53,1814,2.59,08/03/2016,137.27
09/03/2016,38,1774,2.59,09/03/2016,98.42
10/03/2016,46,1728,2.19,10/03/2016,100.74
11/03/2016,45,1779,2.19,11/03/2016,98.55
12/03/2016,67,1712,2.19,12/03/2016,146.73
13/03/2016,52,1660,2.19,13/03/2016,113.88
14/03/2016,24,1825,2.19,14/03/2016,52.56
15/03/2016,51,1774,2.19,15/03/2016,111.69
16/03/2016,127,1647,2.19,16/03/2016,278.13
17/03/2016,75,1572,2.19,17/03/2016,164.25
18/03/2016,62,1510,2.19,18/03/2016,135.78
19/03/2016,128,1478,1.99,19/03/2016,254.72
20/03/2016,138,1340,1.99,20/03/2016,274.62
21/03/2016,74,1554,1.99,21/03/2016,147.26
22/03/2016,73,1480,2.59,22/03/2016,189.07
23/03/2016,100,1380,2.59,23/03/2016,259
24/03/2016,71,1501,2.59,24/03/2016,183.89
25/03/2016,99,1402,2.59,25/03/2016,256.41
26/03/2016,102,1396,2.59,26/03/2016,264.18
27/03/2016,57,1339,2.59,27/03/2016,147.63
28/03/2016,23,1507,2.59,28/03/2016,59.57
29/03/2016,35,1760,2.59,29/03/2016,90.65
30/03/2016,59,1701,2.59,30/03/2016,152.81
31/03/2016,41,1660,2.59,31/03/2016,106.19
01/04/2016,68,1592,2.59,01/04/2016,176.12
02/04/2016,84,1508,2.59,02/04/2016,217.56
03/04/2016,42,1466,2.59,03/04/2016,108.78
04/04/2016,95,1659,2.59,04/04/2016,246.05
05/04/2016,85,1574,2.59,05/04/2016,220.15
06/04/2016,102,1472,2.59,06/04/2016,264.18
07/04/2016,111,1457,2.59,07/04/2016,287.49
08/04/2016,113,1344,2.59,08/04/2016,292.67
09/04/2016,208,1136,2.59,09/04/2016,538.72
10/04/2016,148,988,2.59,10/04/2016,383.32
11/04/2016,123,2017,2.59,11/04/2016,318.57
12/04/2016,62,1955,2.59,12/04/2016,160.58
13/04/2016,129,1825,2.59,13/04/2016,334.11
14/04/2016,102,1723,2.59,14/04/2016,264.18
15/04/2016,110,3917,2.59,15/04/2016,284.9
16/04/2016,202,3715,2.59,16/04/2016,523.18
17/04/2016,144,3571,2.59,17/04/2016,372.96
18/04/2016,84,3487,2.59,18/04/2016,217.56
19/04/2016,127,3360,1.89,19/04/2016,240.03
20/04/2016,181,3179,1.89,20/04/2016,342.09
21/04/2016,268,2911,1.89,21/04/2016,506.52
22/04/2016,278,2636,1.89,22/04/2016,525.42
23/04/2016,234,2402,1.89,23/04/2016,442.26
24/04/2016,133,2269,1.89,24/04/2016,251.37
25/04/2016,91,2178,1.89,25/04/2016,171.99
26/04/2016,83,2095,2.59,26/04/2016,214.97
27/04/2016,139,1956,2.59,27/04/2016,360.01
28/04/2016,113,1843,2.59,28/04/2016,292.67
29/04/2016,141,1702,2.59,29/04/2016,365.19
30/04/2016,228,1474,2.59,30/04/2016,590.52
01/05/2016,163,1311,2.59,01/05/2016,422.17
02/05/2016,0,1605,2.59,02/05/2016,0
03/05/2016,125,1768,2.57,03/05/2016,321.25
04/05/2016,180,1876,2.59,04/05/2016,466.2
05/05/2016,222,1846,1.88,05/05/2016,417.36
06/05/2016,243,1602,1.89,06/05/2016,459.27
07/05/2016,408,1196,1.89,07/05/2016,771.12
08/05/2016,181,1014,1.89,08/05/2016,342.09
09/05/2016,176,838,1.88,09/05/2016,330.88
10/05/2016,178,660,1.89,10/05/2016,336.42
11/05/2016,310,348,1.38,11/05/2016,427.8
12/05/2016,134,213,1.89,12/05/2016,253.26
13/05/2016,132,81,1.89,13/05/2016,249.48
14/05/2016,1,80,1.89,14/05/2016,1.89
15/05/2016,0,80,0,15/05/2016,0
16/05/2016,0,80,2.59,16/05/2016,0
17/05/2016,0,2383,2.59,17/05/2016,0
18/05/2016,110,2262,2.59,18/05/2016,284.9
19/05/2016,81,2181,2.59,19/05/2016,209.79
20/05/2016,112,2069,2.59,20/05/2016,290.08
21/05/2016,186,2069,2.59,21/05/2016,481.74
22/05/2016,113,1770,2.59,22/05/2016,292.67
23/05/2016,86,1684,2.59,23/05/2016,222.74
24/05/2016,59,1817,2.59,24/05/2016,152.81
25/05/2016,94,5946,2.59,25/05/2016,243.46
26/05/2016,167,5779,2.59,26/05/2016,432.53
27/05/2016,244,5535,2.59,27/05/2016,631.96
28/05/2016,261,5273,2.59,28/05/2016,675.99
29/05/2016,187,5085,2.59,29/05/2016,484.33
30/05/2016,115,4970,2.59,30/05/2016,297.85
31/05/2016,139,4831,2.59,31/05/2016,360.01
01/06/2016,273,4558,2.59,01/06/2016,707.07
02/06/2016,235,4323,2.59,02/06/2016,608.65
03/06/2016,172,4151,2.59,03/06/2016,445.48
04/06/2016,323,3828,2.59,04/06/2016,836.57
05/06/2016,336,3492,2.59,05/06/2016,870.24
06/06/2016,127,3365,2.59,06/06/2016,328.93
07/06/2016,137,3228,2.59,07/06/2016,354.83
08/06/2016,249,2979,2.59,08/06/2016,644.91
09/06/2016,201,2778,2.59,09/06/2016,520.59
10/06/2016,271,2507,1.81,10/06/2016,490.51
11/06/2016,512,2187,1.65,11/06/2016,844.8
12/06/2016,317,1870,1.66,12/06/2016,526.22
13/06/2016,224,1646,1.66,13/06/2016,371.84
14/06/2016,239,1407,1.63,14/06/2016,389.57
15/06/2016,377,1182,1.63,15/06/2016,614.51
16/06/2016,239,1423,1.69,16/06/2016,403.91
17/06/2016,243,1756,1.66,17/06/2016,403.38
18/06/2016,438,1318,1.66,18/06/2016,727.08
19/06/2016,334,985,1.68,19/06/2016,561.12
20/06/2016,149,836,2.59,20/06/2016,385.91
21/06/2016,32,803,2.59,21/06/2016,82.88
22/06/2016,39,2204,2.59,22/06/2016,101.01
23/06/2016,42,2738,2.59,23/06/2016,108.78
24/06/2016,64,2674,2.39,24/06/2016,152.96
25/06/2016,170,2504,2.39,25/06/2016,406.3
26/06/2016,132,2372,2.39,26/06/2016,315.48
27/06/2016,123,2249,2.39,27/06/2016,293.97
28/06/2016,78,2171,2.39,28/06/2016,186.42
29/06/2016,130,2041,2.39,29/06/2016,310.7
30/06/2016,141,1900,2.39,30/06/2016,336.99
01/07/2016,247,1653,2.39,01/07/2016,590.33
02/07/2016,322,1331,2.39,02/07/2016,769.58
03/07/2016,196,1135,2.39,03/07/2016,468.44
04/07/2016,172,963,2.39,04/07/2016,411.08
05/07/2016,218,1413,2.39,05/07/2016,521.02
06/07/2016,216,1965,2.39,06/07/2016,516.24
07/07/2016,179,1882,2.39,07/07/2016,427.81
08/07/2016,32,2234,2.39,08/07/2016,76.48
09/07/2016,95,2139,2.39,09/07/2016,227.05
10/07/2016,78,2061,2.39,10/07/2016,186.42
11/07/2016,122,1939,2.39,11/07/2016,291.58
12/07/2016,164,1967,1.89,12/07/2016,309.96
13/07/2016,288,1670,1.89,13/07/2016,544.32
14/07/2016,138,1532,1.89,14/07/2016,260.82
15/07/2016,189,1343,1.89,15/07/2016,357.21
16/07/2016,321,1022,1.89,16/07/2016,606.69
17/07/2016,209,813,1.89,17/07/2016,395.01
18/07/2016,161,1420,1.89,18/07/2016,304.29
19/07/2016,157,1359,1.89,19/07/2016,296.73
20/07/2016,283,1075,1.89,20/07/2016,534.87
21/07/2016,60,1015,2.39,21/07/2016,143.4
22/07/2016,98,917,2.39,22/07/2016,234.22
23/07/2016,133,1550,2.39,23/07/2016,317.87
24/07/2016,130,1420,2.39,24/07/2016,310.7
25/07/2016,62,1358,2.39,25/07/2016,148.18
26/07/2016,97,2893,2.39,26/07/2016,231.83
27/07/2016,98,3179,2.39,27/07/2016,234.22
28/07/2016,108,3071,2.39,28/07/2016,258.12
29/07/2016,128,4095,2.39,29/07/2016,305.92
30/07/2016,270,3825,2.39,30/07/2016,645.3
31/07/2016,183,3642,2.39,31/07/2016,437.37
